,longitude,latitude,uptown,park_area,office_area,industrial_zone,tourist_area
0,55.7158813422792,37.583333,0,1,0,0,0
1,55.71580479692804,37.5836186711396,0,1,0,0,0
2,55.715595671139596,37.58382779692804,0,1,0,0,0
3,55.71531,37.5839043422792,0,1,0,0,0
4,55.71502432886041,37.58382779692804,0,1,0,0,0
5,55.714815203071964,37.5836186711396,0,1,0,0,0
6,55.71473865772081,37.583333,0,1,0,0,0
7,55.714815203071964,37.58304732886041,0,1,0,0,0
8,55.71502432886041,37.582838203071965,0,1,0,0,0
9,55.71531,37.58276165772081,0,1,0,0,0
10,55.715595671139596,37.582838203071965,0,1,0,0,0
11,55.71580479692804,37.58304732886041,0,1,0,0,0
12,55.71539061017307,37.583333,0,1,0,0,0
13,55.71537981045768,37.58337330508653,0,1,0,0,0
14,55.71535030508653,37.58340281045768,0,1,0,0,0
15,55.71531,37.58341361017307,0,1,0,0,0
16,55.715269694913474,37.58340281045768,0,1,0,0,0
17,55.71524018954233,37.58337330508653,0,1,0,0,0
18,55.71522938982694,37.583333,0,1,0,0,0
19,55.71524018954233,37.583292694913474,0,1,0,0,0
20,55.715269694913474,37.58326318954233,0,1,0,0,0
21,55.71531,37.58325238982694,0,1,0,0,0
22,55.71535030508653,37.58326318954233,0,1,0,0,0
23,55.71537981045768,37.583292694913474,0,1,0,0,0
24,55.7155659726548,37.583333,0,1,0,0,0
25,55.71553167882173,37.5834609863274,0,1,0,0,0
26,55.7154379863274,37.583554678821734,0,1,0,0,0
27,55.71531,37.5835889726548,0,1,0,0,0
28,55.7151820136726,37.583554678821734,0,1,0,0,0
29,55.71508832117827,37.5834609863274,0,1,0,0,0
30,55.715054027345204,37.583333,0,1,0,0,0
31,55.71508832117827,37.583205013672604,0,1,0,0,0
32,55.7151820136726,37.58311132117827,0,1,0,0,0
33,55.71531,37.583077027345205,0,1,0,0,0
34,55.7154379863274,37.58311132117827,0,1,0,0,0
35,55.71553167882173,37.583205013672604,0,1,0,0,0
36,55.71666623080632,37.583333,0,1,0,0,0
37,55.71648453033167,37.584011115403165,0,1,0,0,0
38,55.715988115403164,37.58450753033167,0,1,0,0,0
39,55.71531,37.58468923080632,0,1,0,0,0
40,55.71463188459684,37.58450753033167,0,1,0,0,0
41,55.714135469668335,37.584011115403165,0,1,0,0,0
42,55.71395376919369,37.583333,0,1,0,0,0
43,55.714135469668335,37.58265488459684,0,1,0,0,0
44,55.71463188459684,37.582158469668336,0,1,0,0,0
45,55.71531,37.58197676919369,0,1,0,0,0
46,55.715988115403164,37.582158469668336,0,1,0,0,0
47,55.71648453033167,37.58265488459684,0,1,0,0,0
48,55.71566921024484,37.583333,0,0,0,1,0
